Provinsi,Tahun,IPM
ACEH,2022,72.8
SUMATERA UTARA,2022,72.71
SUMATERA BARAT,2022,73.26
RIAU,2022,73.52
JAMBI,2022,72.14
SUMATERA SELATAN,2022,70.9
BENGKULU,2022,72.16
LAMPUNG,2022,70.45
KEP. BANGKA BELITUNG,2022,72.24
KEP. RIAU,2022,76.46
DKI JAKARTA,2022,81.65
JAWA BARAT,2022,73.12
JAWA TENGAH,2022,72.79
DI YOGYAKARTA,2022,80.64
JAWA TIMUR,2022,72.75
BANTEN,2022,73.32
BALI,2022,76.44
NUSA TENGGARA BARAT,2022,69.46
NUSA TENGGARA TIMUR,2022,65.9
KALIMANTAN BARAT,2022,68.63
KALIMANTAN TENGAH,2022,71.63
KALIMANTAN SELATAN,2022,71.84
KALIMANTAN TIMUR,2022,77.44
KALIMANTAN UTARA,2022,71.83
SULAWESI UTARA,2022,73.81
SULAWESI TENGAH,2022,70.28
SULAWESI SELATAN,2022,72.82
SULAWESI TENGGARA,2022,72.23
GORONTALO,2022,69.81
SULAWESI BARAT,2022,66.92
MALUKU,2022,70.22
MALUKU UTARA,2022,69.47
PAPUA BARAT,2022,65.16
PAPUA BARAT DAYA,2022,67.59
PAPUA,2022,71.76
PAPUA SELATAN,2022,65.74
PAPUA TENGAH,2022,58.25
PAPUA PEGUNUNGAN,2022,51.7
INDONESIA,2022,72.91
ACEH,2023,73.4
SUMATERA UTARA,2023,73.37
SUMATERA BARAT,2023,73.75
RIAU,2023,74.04
JAMBI,2023,72.77
SUMATERA SELATAN,2023,71.62
BENGKULU,2023,72.78
LAMPUNG,2023,71.15
KEP. BANGKA BELITUNG,2023,72.85
KEP. RIAU,2023,77.11
DKI JAKARTA,2023,82.46
JAWA BARAT,2023,73.74
JAWA TENGAH,2023,73.39
DI YOGYAKARTA,2023,81.07
JAWA TIMUR,2023,73.38
BANTEN,2023,73.87
BALI,2023,77.1
NUSA TENGGARA BARAT,2023,70.2
NUSA TENGGARA TIMUR,2023,66.68
KALIMANTAN BARAT,2023,69.41
KALIMANTAN TENGAH,2023,72.2
KALIMANTAN SELATAN,2023,72.5
KALIMANTAN TIMUR,2023,78.2
KALIMANTAN UTARA,2023,72.49
SULAWESI UTARA,2023,74.36
SULAWESI TENGAH,2023,70.95
SULAWESI SELATAN,2023,73.46
SULAWESI TENGGARA,2023,72.79
GORONTALO,2023,70.45
SULAWESI BARAT,2023,67.55
MALUKU,2023,70.94
MALUKU UTARA,2023,70.21
PAPUA BARAT,2023,66.16
PAPUA BARAT DAYA,2023,68.05
PAPUA,2023,72.41
PAPUA SELATAN,2023,67.27
PAPUA TENGAH,2023,58.93
PAPUA PEGUNUNGAN,2023,52.45
INDONESIA,2023,73.55
ACEH,2024,74.03
SUMATERA UTARA,2024,74.02
SUMATERA BARAT,2024,74.49
RIAU,2024,74.79
JAMBI,2024,73.43
SUMATERA SELATAN,2024,72.3
BENGKULU,2024,73.39
LAMPUNG,2024,71.81
KEP. BANGKA BELITUNG,2024,73.33
KEP. RIAU,2024,77.97
DKI JAKARTA,2024,83.08
JAWA BARAT,2024,74.43
JAWA TENGAH,2024,73.88
DI YOGYAKARTA,2024,81.55
JAWA TIMUR,2024,74.09
BANTEN,2024,74.48
BALI,2024,77.76
NUSA TENGGARA BARAT,2024,70.93
NUSA TENGGARA TIMUR,2024,67.39
KALIMANTAN BARAT,2024,70.13
KALIMANTAN TENGAH,2024,72.73
KALIMANTAN SELATAN,2024,73.03
KALIMANTAN TIMUR,2024,78.83
KALIMANTAN UTARA,2024,73.02
SULAWESI UTARA,2024,75.03
SULAWESI TENGAH,2024,71.56
SULAWESI SELATAN,2024,74.05
SULAWESI TENGGARA,2024,73.48
GORONTALO,2024,71.23
SULAWESI BARAT,2024,68.2
MALUKU,2024,71.57
MALUKU UTARA,2024,71.03
PAPUA BARAT,2024,67.02
PAPUA BARAT DAYA,2024,68.63
PAPUA,2024,73.0
PAPUA SELATAN,2024,67.9
PAPUA TENGAH,2024,59.75
PAPUA PEGUNUNGAN,2024,53.42
INDONESIA,2024,74.2
